%% https://raw.githubusercontent.com/josefkr/morphcomp/master/wortwarte_lemma_polarity.txt
%% https://raw.githubusercontent.com/josefkr/morphcomp/master/wiktionary_lemma_polarity.txt
%% https://raw.githubusercontent.com/josefkr/morphcomp/master/train_test_lemma_polarity.txt
%% https://raw.githubusercontent.com/artificial-max/polcla/master/polcla/src/main/resources/dictionaries/germanlex.txt
%% https://raw.githubusercontent.com/markuskiller/textblob-de/master/textblob_de/data/de-sentiment.xml
%% https://pcai056.informatik.uni-leipzig.de/downloads/etc/SentiWS/SentiWS_v2.0.zip
%% data/bundestag_sentiments.txt
abschreckungsmaßnahme,-0.9
abschürfung,-0.7333333333333334
abschuss,-0.6262
abschweifung,-0.7333333333333334
abschwellen,0.7333333333333334
abschwören,0.75
absehen,0.65
absichtlichkeit,-0.7333333333333334
absichtslos,0.65
absitzen,-0.75
absolut,0.61045
absolution,0.7333333333333334
absonderlich,-0.8333333333333334
absonderung,-0.7333333333333334
absorbieren,-0.7333333333333334
abspannung,-0.7333333333333334
abspeisen,-0.9333333333333332
absprechen,0.6666666666666666
absteigen,-0.6694
abstinent,0.8333333333333334
abstinenztag,0.0
abstoßen,-0.6275833333333334
abstraktionsfähigkeit,0.8
abstreiten,-0.7333333333333334
abstrus,-0.8333333333333334
abstumpfung,-0.7011999999999999
absturzursache,-0.8333333333333334
absurd,-0.753
absurdität,-0.40240000000000004
abszess,-0.9333333333333332
abszissenachse,0.0
abtragung,-0.8333333333333334
abtrotzen,-0.9333333333333332
abtun,-0.8333333333333334
aburteilen,-0.9333333333333332
abverlangen,-0.75
abwählen,-0.6666666666666666
abwasserentsorgung,-0.7666666666666666
abwechslungsreich,0.769925
abwegig,-0.9
abwegigkeit,-0.8
abwehren,0.26666666666666666
abweisen,-0.7149714285714286
abwerben,-0.7333333333333334
abwiegeln,-0.7666666666666666
abwimmeln,-0.9333333333333332
abwinken,-0.6666666666666666
abwirtschaften,-0.8
abwürgen,-0.9333333333333332
achsdruck,0.0
achselgriff,0.0
achselhöhle,0.0
achsenzylinder,0.0
achtbar,0.8333333333333334
ächten,-0.9333333333333332
achten,0.8400000000000001
achtgeben,0.375
achtlos,-0.5512
achtlosigkeit,-0.40240000000000004
achtstundentag,0.0
achtunggebietend,0.8
achtungsbezeigung,0.8
achtungserfolg,0.8
ächzen,-0.78
ackerbau,0.0
ackern,-0.6666666666666666
adäquat,0.7666666666666666
adelig,0.6666666666666666
aderlass,-0.3666666666666667
adlerblick,0.8
adlig,0.6666666666666666
